NewSessionID,SessionID,LocationID,Date,Language,Expert (User2),Novice (User1),Topic,Duration (min),Unexpected Event Type,Unexpected Event Time (approx),Comment,Expert ProjectConsent,Expert DisseminationConsent,Expert PublicConsent,Novice ProjectConsent,Novice DisseminationConsent,Novice PublicConsent,User1.keywords,User1.expertise,User1.proficiency,User1.encountered_before,User1.level,User2.keywords,User2.expertise,User2.proficiency,User2.encountered_before,User2.level
1,1,P,17/03/2016,French,1,12,Photography,17.45,CALL,5,,YES,YES,YES,YES,YES,YES,photo cameras,Novice,Native/bilingual,Yes,Friends,"light painting, focal",Advanced,Native/bilingual,Yes,Acquaintances
2,2,P,17/03/2016,French,4,11,History of Japan,32.23,CALL,4,Non-programmed unexpected event ,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,Yes,Acquaintances,"hostory, japan",Advanced,Native/bilingual,Yes,Acquaintances
3,3,P,17/03/2016,French,1,9,Music,12.41,WALK IN,5,,YES,YES,YES,YES,YES,YES,radio,Intermediate,Native/bilingual,Yes,Acquaintances,"neo folk, post rock, harmony",Intermediate,Native/bilingual,Yes,Acquaintances
4,4,P,18/03/2016,French,6,9,Wild Animals,19.36,SMS,6,,YES,YES,NO,YES,YES,YES,,Intermediate,Native/bilingual,Yes,Acquaintances,ethology,Advanced,Native/bilingual,Yes,Friends
5,5,P,18/03/2016,French,6,12,Travels,18.16,CALL,5,,YES,YES,NO,YES,YES,YES,"world tour, travel alone",Novice,Native/bilingual,Yes,Friends,,Advanced,Native/bilingual,Yes,Friends
6,6,P,18/03/2016,French,7,11,Videogames,25.44,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,Yes,Acquaintances,"entertainment, childhood",Advanced,Native/bilingual,Yes,Acquaintances
7,7,P,21/03/2016,French,10,37,Film,36.13,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,No,N/A,"sixties, new wave",Advanced,Native/bilingual,No,N/A
8,8,P,23/03/2016,French,6,2,Travels,16.38,CALL,5,,YES,YES,NO,YES,YES,YES,,Intermediate,Native/bilingual,No,N/A,,Advanced,Native/bilingual,No,N/A
9,9,P,25/03/2016,French,38,13,Basketball,15.04,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,Yes,Friends,"NBA, Tony Parker",Advanced,Native/bilingual,Yes,Friends
10,10,P,25/03/2016,French,15,16,TV Series,23.35,CALL,5,Non-programmed expert interruption at 17min,YES,NO,NO,YES,NO,NO,"batman, superman",Intermediate,Native/bilingual,Yes,Friends,,Intermediate,Native/bilingual,Yes,Friends
11,11,P,25/03/2016,French,17,18,Videogames,24.00,WALK IN,5,,YES,YES,YES,YES,YES,YES,"steam, dlc",Intermediate,Native/bilingual,No,N/A,"diffusion, streaming",Expert,Native/bilingual,No,N/A
12,12,P,25/03/2016,French,7,19,Videogames,19.35,CALL,1.30,Non-programmed unexpected event ,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,No,N/A,"entertainment, childhood",Advanced,Native/bilingual,No,N/A
13,13,P,30/03/2016,French,30,29,Music '60,22.35,WALK IN,5,,YES,YES,YES,YES,YES,YES,,Advanced,Native/bilingual,Yes,Friends,,Advanced,Native/bilingual,Yes,Friends
14,14,P,1/4/2016,French,32,31,Travels,17.49,CALL,5,,YES,YES,YES,YES,YES,YES,,Novice,Native/bilingual,Yes,Acquaintances,"Italy, UK, Spain",Intermediate,Native/bilingual,Yes,Acquaintances
15,15,P,5/4/2016,Italian,34,33,Films,21.21,NONE,-,,YES,YES,YES,YES,YES,YES,oscars,Intermediate,Native/bilingual,Yes,Very good friends,"actors, cinema",Intermediate,Native/bilingual,Yes,Very good friends
16,16,P,5/4/2016,Arabic,35,36,Salty Cooking,7.50,CALL,5,,YES,YES,YES,YES,YES,YES,,Intermediate,Native/bilingual,No,N/A,"hrira, chourba, bourak",Advanced,Native/bilingual,No,N/A
17,17,P,5/4/2016,Arabic,35,36,Algerian Cakes,16.19,CALL,5,,YES,YES,YES,YES,YES,YES,,Intermediate,Native/bilingual,No,N/A,,Advanced,Native/bilingual,No,N/A
